,time,Press031.Ana_hava_debi_act,Press031.Ana_hava_sic_act,Press031.Deng_hava_bas_act,Press031.Deng_hava_debi_act,cycle,id
475,2022-06-30 04:30:00+00:00,8.849721686180414,29.447120921305153,3.0143128608445324,4.230729366602685,475.0,1
476,2022-06-30 05:00:00+00:00,20.906905440305618,28.662846227316,3.2410329579751638,6.638156616045858,476.0,1
477,2022-06-30 05:30:00+00:00,20.7131417538314,28.41532567049821,3.242474372605356,5.211178159003834,477.0,1
478,2022-06-30 06:00:00+00:00,19.17086454851101,28.226801152737643,3.209790035542742,5.632391922190196,478.0,1
479,2022-06-30 06:30:00+00:00,21.009339069923296,27.98352490421476,3.243244487547885,5.9214655172413835,479.0,1
480,2022-06-30 07:00:00+00:00,21.77423149240986,27.862808349146214,3.2385160455408024,5.984136588235301,480.0,1
481,2022-06-30 07:30:00+00:00,20.69093166637092,27.864685004436794,3.2389387107364707,6.632386861579418,481.0,1
482,2022-06-30 08:00:00+00:00,21.005141338339218,27.87314487632516,3.243641608657248,5.407526500000002,482.0,1
483,2022-06-30 08:30:00+00:00,20.352628767317906,27.893428063943333,3.237645833925397,5.606651860568388,483.0,1
484,2022-06-30 09:00:00+00:00,11.559194394045559,28.36173380035026,3.0611395437828275,3.8419789816112035,484.0,1
485,2022-06-30 09:30:00+00:00,8.490893500902505,28.641606498194765,3.009950636281582,3.5554512635379054,485.0,1
486,2022-06-30 10:00:00+00:00,7.675372863432168,28.725965858041278,2.990469921832871,2.640682839173405,486.0,1
487,2022-06-30 10:30:00+00:00,8.333921745222913,28.66433121019094,2.9954943303002772,2.8743949044586015,487.0,1
488,2022-06-30 11:00:00+00:00,11.703494187667575,28.429043789097232,3.047329791778379,5.989857015192138,488.0,1
489,2022-06-30 11:30:00+00:00,18.147692303220058,28.006708407871137,3.1616406958855148,5.84910554472273,489.0,1
490,2022-06-30 12:00:00+00:00,22.09184587455199,27.56227598566298,3.234894390681009,5.156245517921143,490.0,1
491,2022-06-30 12:30:00+00:00,21.200953671208023,27.45694822888287,3.245275163487728,5.048873748410541,491.0,1
492,2022-06-30 13:00:00+00:00,20.686957687668784,27.4178217821784,3.2368819468946946,6.458667866786673,492.0,1
493,2022-06-30 13:30:00+00:00,19.875056809659025,27.492234848484724,3.2370621761363765,5.112774621212125,493.0,1
494,2022-06-30 14:00:00+00:00,20.03870437773727,27.593430656934284,3.2406087500000043,5.955036496350365,494.0,1
495,2022-06-30 14:30:00+00:00,19.794594834254145,27.81988950276254,3.23827517679558,6.201141802025788,495.0,1
496,2022-06-30 15:00:00+00:00,19.204550352517963,28.07464028776983,3.2471048039568347,5.664118703237404,496.0,1
497,2022-06-30 15:30:00+00:00,19.25367712735425,28.331390134529283,3.2403116080717513,5.891919280717481,497.0,1
498,2022-06-30 16:00:00+00:00,16.797700531194252,28.65409982174679,3.1849311907308366,5.557183596256688,498.0,1
499,2022-06-30 16:30:00+00:00,16.023410772304803,28.907806691449913,3.16229436431228,5.7375464609665325,499.0,1
500,2022-06-30 17:00:00+00:00,13.67711267253519,29.131073943661807,3.119998718309855,3.5259154929577443,500.0,1
501,2022-06-30 17:30:00+00:00,17.841577085462536,29.010572687224784,3.180162632599117,6.886977947136565,501.0,1
502,2022-06-30 18:00:00+00:00,19.215879788327523,28.813501742160224,3.240622585365853,5.452125433797906,502.0,1
503,2022-06-30 18:30:00+00:00,19.569930129257703,28.622969432314317,3.240309558078598,6.171999998253283,503.0,1
504,2022-06-30 19:00:00+00:00,19.74119999739134,28.4160000000004,3.241240840000002,6.0171391130434815,504.0,1
505,2022-06-30 19:30:00+00:00,19.81302922852084,28.362798937112693,3.247217545615593,4.946953038086805,505.0,1
506,2022-06-30 20:00:00+00:00,19.63722954353559,28.43078276165354,3.237480118733512,5.861451184696573,506.0,1
507,2022-06-30 20:30:00+00:00,18.957211959542672,28.53104661389589,3.242796676341249,5.797590145998243,507.0,1
508,2022-06-30 21:00:00+00:00,19.359730665508263,28.60095569070351,3.237820799304952,5.900842741963503,508.0,1
509,2022-06-30 21:30:00+00:00,19.39666959383259,28.52986784140967,3.2390383876652002,6.308696035242298,509.0,1
510,2022-06-30 22:00:00+00:00,19.925726939716338,28.326329787234016,3.2399483971631255,5.6703191453900725,510.0,1
511,2022-06-30 22:30:00+00:00,19.321601842592546,28.314537037037137,3.2381235277777853,6.787351851851863,511.0,1
512,2022-06-30 23:00:00+00:00,14.485715559033993,28.72155635062593,3.144411562611819,4.474186046511627,512.0,1
513,2022-06-30 23:30:00+00:00,12.11388193202147,29.01878354203925,3.0756234597495387,4.560724508050087,513.0,1
514,2022-07-01 00:00:00+00:00,20.099027262727297,28.49209090909123,3.2446502963636403,6.177027269090906,514.0,1
515,2022-07-01 00:30:00+00:00,14.867777775925925,28.47388888888899,3.1484217194444373,4.140685183333331,515.0,1
516,2022-07-01 01:00:00+00:00,20.389272885098748,28.265439856373384,3.2350085718132835,6.330619387791741,516.0,1
517,2022-07-01 01:30:00+00:00,20.99086441674252,28.0767970882621,3.2409204485896304,6.137797998180161,517.0,1
518,2022-07-01 02:00:00+00:00,7.9990599803043985,28.613518352730487,3.0323377547000807,1.638182632050134,518.0,1
519,2022-07-01 02:30:00+00:00,8.635259391771001,28.702772808586623,3.2896080286225455,5.529078667262969,519.0,1
520,2022-07-01 03:00:00+00:00,8.062754650132865,28.694419840566713,2.979255016829037,5.424304694419841,520.0,1
521,2022-07-01 03:30:00+00:00,6.711075888568691,28.799807877041076,2.9777648049952012,1.8400192122958694,521.0,1
522,2022-07-01 04:00:00+00:00,6.743607954545453,28.791856060606108,2.9730858106060483,2.0346496212121186,522.0,1
