,time,Press030.Ana_hava_debi_act_1
493,2022-05-30 10:38:14+00:00,-666.0
494,2022-05-30 10:38:15+00:00,24.75
495,2022-05-30 10:38:16+00:00,25.41
496,2022-05-30 10:38:17+00:00,-666.0
497,2022-05-30 10:38:18+00:00,25.41
498,2022-05-30 10:38:19+00:00,25.33
499,2022-05-30 10:38:20+00:00,-666.0
500,2022-05-30 10:38:21+00:00,25.33
501,2022-05-30 10:38:22+00:00,25.16
502,2022-05-30 10:38:23+00:00,-666.0
503,2022-05-30 10:38:24+00:00,25.16
504,2022-05-30 10:38:25+00:00,25.16
505,2022-05-30 10:38:26+00:00,-666.0
506,2022-05-30 10:38:27+00:00,25.09
507,2022-05-30 10:38:28+00:00,25.09
508,2022-05-30 10:38:29+00:00,-666.0
509,2022-05-30 10:38:30+00:00,25.09
510,2022-05-30 10:38:31+00:00,25.5
511,2022-05-30 10:38:32+00:00,-666.0
512,2022-05-30 10:38:33+00:00,25.5
513,2022-05-30 10:38:34+00:00,26.79
514,2022-05-30 10:38:35+00:00,-666.0
515,2022-05-30 10:38:36+00:00,-666.0
516,2022-05-30 10:38:37+00:00,26.79
517,2022-05-30 10:38:38+00:00,-666.0
518,2022-05-30 10:38:39+00:00,28.77
519,2022-05-30 10:38:40+00:00,28.77
520,2022-05-30 10:38:41+00:00,-666.0
521,2022-05-30 10:38:42+00:00,28.77
522,2022-05-30 10:38:43+00:00,31.78
523,2022-05-30 10:38:44+00:00,-666.0
524,2022-05-30 10:38:45+00:00,31.78
525,2022-05-30 10:38:46+00:00,31.78
526,2022-05-30 10:38:47+00:00,-666.0
527,2022-05-30 10:38:48+00:00,33.65
528,2022-05-30 10:38:49+00:00,33.65
529,2022-05-30 10:38:50+00:00,-666.0
530,2022-05-30 10:38:51+00:00,33.65
531,2022-05-30 10:38:52+00:00,-666.0
532,2022-05-30 10:38:53+00:00,34.33
533,2022-05-30 10:38:54+00:00,34.33
534,2022-05-30 10:38:55+00:00,-666.0
535,2022-05-30 10:38:56+00:00,32.99
536,2022-05-30 10:38:57+00:00,32.99
537,2022-05-30 10:38:58+00:00,-666.0
538,2022-05-30 10:38:59+00:00,29.73
539,2022-05-30 10:39:00+00:00,29.73
540,2022-05-30 10:39:01+00:00,-666.0
541,2022-05-30 10:39:02+00:00,29.73
542,2022-05-30 10:39:03+00:00,24.18
543,2022-05-30 10:39:04+00:00,-666.0
544,2022-05-30 10:39:05+00:00,24.18
545,2022-05-30 10:39:06+00:00,-666.0
546,2022-05-30 10:39:07+00:00,20.34
547,2022-05-30 10:39:08+00:00,20.34
548,2022-05-30 10:39:09+00:00,-666.0
549,2022-05-30 10:39:10+00:00,16.64
550,2022-05-30 10:39:11+00:00,16.64
551,2022-05-30 10:39:12+00:00,-666.0
552,2022-05-30 10:39:13+00:00,16.64
553,2022-05-30 10:39:14+00:00,13.44
554,2022-05-30 10:39:15+00:00,-666.0
555,2022-05-30 10:39:16+00:00,13.44
556,2022-05-30 10:39:17+00:00,11.84
557,2022-05-30 10:39:18+00:00,-666.0
558,2022-05-30 10:39:19+00:00,11.84
559,2022-05-30 10:39:20+00:00,-666.0
560,2022-05-30 10:39:21+00:00,11.84
561,2022-05-30 10:39:22+00:00,10.22
562,2022-05-30 10:39:23+00:00,-666.0
563,2022-05-30 10:39:24+00:00,10.22
564,2022-05-30 10:39:25+00:00,9.77
565,2022-05-30 10:39:26+00:00,-666.0
566,2022-05-30 10:39:27+00:00,9.77
567,2022-05-30 10:39:28+00:00,9.77
568,2022-05-30 10:39:29+00:00,-666.0
569,2022-05-30 10:39:30+00:00,9.32
570,2022-05-30 10:39:31+00:00,9.32
571,2022-05-30 10:39:32+00:00,-666.0
572,2022-05-30 10:39:33+00:00,9.179999
573,2022-05-30 10:39:34+00:00,-666.0
574,2022-05-30 10:39:35+00:00,9.179999
575,2022-05-30 10:39:36+00:00,9.179999
576,2022-05-30 10:39:37+00:00,-666.0
577,2022-05-30 10:39:38+00:00,9.01
578,2022-05-30 10:39:39+00:00,8.99
579,2022-05-30 10:39:40+00:00,-666.0
580,2022-05-30 10:39:41+00:00,8.99
581,2022-05-30 10:39:42+00:00,-666.0
582,2022-05-30 10:39:43+00:00,8.99
583,2022-05-30 10:39:44+00:00,8.97
584,2022-05-30 10:39:45+00:00,-666.0
585,2022-05-30 10:39:46+00:00,8.97
586,2022-05-30 10:39:47+00:00,-666.0
587,2022-05-30 10:39:48+00:00,8.98
588,2022-05-30 10:39:49+00:00,8.98
589,2022-05-30 10:39:50+00:00,-666.0
590,2022-05-30 10:39:51+00:00,8.98
591,2022-05-30 10:39:52+00:00,8.99
592,2022-05-30 10:39:53+00:00,-666.0
593,2022-05-30 10:39:54+00:00,8.99
594,2022-05-30 10:39:55+00:00,9.02
